country_fr,iso3c,pop2018,date,test_unit,tests,cases,deaths,tests_7dravg,cases_7dravg,deaths_7dravg,ctratio_7dravg
Autriche,AUT,8847037,2020-02-17,NA,NA,0,0,NA,0,0,NA
Autriche,AUT,8847037,2020-02-18,NA,NA,0,0,NA,0,0,NA
Autriche,AUT,8847037,2020-02-19,NA,NA,0,0,NA,0,0,NA
Autriche,AUT,8847037,2020-02-20,NA,NA,0,0,NA,0,0,NA
Autriche,AUT,8847037,2020-02-21,NA,NA,0,0,NA,0,0,NA
Autriche,AUT,8847037,2020-02-22,NA,NA,0,0,NA,1,0,NA
Autriche,AUT,8847037,2020-02-23,NA,NA,0,0,NA,1,0,NA
Autriche,AUT,8847037,2020-02-24,NA,NA,0,0,NA,1,0,NA
Autriche,AUT,8847037,2020-02-25,tests performed,NA,0,0,NA,2,0,NA
Autriche,AUT,8847037,2020-02-26,tests performed,103,2,0,NA,3,0,NA
Autriche,AUT,8847037,2020-02-27,tests performed,126,0,0,NA,3,0,NA
Autriche,AUT,8847037,2020-02-28,tests performed,316,3,0,NA,4,0,NA
Autriche,AUT,8847037,2020-02-29,tests performed,886,2,0,NA,5,0,NA
Autriche,AUT,8847037,2020-03-01,tests performed,NA,3,0,NA,10,0,NA
Autriche,AUT,8847037,2020-03-02,tests performed,NA,4,0,NA,13,0,NA
Autriche,AUT,8847037,2020-03-03,tests performed,NA,4,0,352,13,0,0.04
Autriche,AUT,8847037,2020-03-04,tests performed,455,6,0,402,16,0,0.04
Autriche,AUT,8847037,2020-03-05,tests performed,573,5,0,466,23,0,0.05
Autriche,AUT,8847037,2020-03-06,tests performed,289,12,0,462,31,0,0.07
Autriche,AUT,8847037,2020-03-07,tests performed,308,33,0,380,46,0,0.12
Autriche,AUT,8847037,2020-03-08,tests performed,201,25,0,359,61,0,0.17
Autriche,AUT,8847037,2020-03-09,tests performed,225,3,0,342,79,0,0.23
Autriche,AUT,8847037,2020-03-10,tests performed,292,29,0,335,108,0,0.32
Autriche,AUT,8847037,2020-03-11,tests performed,336,51,0,318,126,0,0.4
Autriche,AUT,8847037,2020-03-12,tests performed,507,64,0,308,164,0,0.53
Autriche,AUT,8847037,2020-03-13,tests performed,713,115,1,369,200,1,0.54
Autriche,AUT,8847037,2020-03-14,tests performed,885,143,0,451,262,1,0.58
Autriche,AUT,8847037,2020-03-15,tests performed,700,151,0,523,306,1,0.59
Autriche,AUT,8847037,2020-03-16,tests performed,323,205,0,537,338,1,0.63
Autriche,AUT,8847037,2020-03-17,tests performed,1788,156,2,750,396,2,0.53
Autriche,AUT,8847037,2020-03-18,tests performed,1699,316,0,945,496,3,0.52
Autriche,AUT,8847037,2020-03-19,tests performed,1747,314,1,1122,564,4,0.5
Autriche,AUT,8847037,2020-03-20,tests performed,1889,550,2,1290,606,4,0.47
Autriche,AUT,8847037,2020-03-21,tests performed,2932,453,0,1583,690,7,0.44
Autriche,AUT,8847037,2020-03-22,tests performed,2823,375,2,1886,721,9,0.38
Autriche,AUT,8847037,2020-03-23,tests performed,2061,607,8,2134,752,9,0.35
Autriche,AUT,8847037,2020-03-24,tests performed,4962,855,9,2588,740,10,0.29
Autriche,AUT,8847037,2020-03-25,tests performed,4016,796,5,2919,733,12,0.25
